id;timestamp_utc;name;description;address;register_type;raw_value;value;unit;source
7742;2026-08-04T08:14:48.530180+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
7743;2026-08-04T08:14:48.530204+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
7744;2026-08-04T08:14:48.530227+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
7745;2026-08-04T08:14:53.943802+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
7746;2026-08-04T08:14:53.943996+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
7747;2026-08-04T08:14:53.944040+00:00;outdoor_temperature;Außentemperatur;247;holding;22.0;22.0;°C;/dev/ttyUSB0
7748;2026-08-04T08:14:53.944068+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
7749;2026-08-04T08:14:53.944093+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
7750;2026-08-04T08:14:53.944117+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
7751;2026-08-04T08:14:53.944141+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
7752;2026-08-04T08:14:53.944164+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
7753;2026-08-04T08:14:59.340738+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
7754;2026-08-04T08:14:59.340932+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
7755;2026-08-04T08:14:59.340976+00:00;outdoor_temperature;Außentemperatur;247;holding;22.0;22.0;°C;/dev/ttyUSB0
7756;2026-08-04T08:14:59.341014+00:00;compressor_speed;Verdichterdrehzahl;248;holding;0.0;0.0;rpm;/dev/ttyUSB0
7757;2026-08-04T08:14:59.341041+00:00;compressor1_current;Stromaufnahme Verdichter 1;249;holding;0.0;0.0;A;/dev/ttyUSB0
7758;2026-08-04T08:14:59.341065+00:00;operating_mode;Betriebsart;0;holding;8.0;8.0;;/dev/ttyUSB0
7759;2026-08-04T08:14:59.341089+00:00;pump_running_speed;Pumpendrehzahl;137;holding;100.0;100.0;%;/dev/ttyUSB0
7760;2026-08-04T08:14:59.341111+00:00;setpoint;Sollwert;1;holding;33.0;33.0;°C;/dev/ttyUSB0
7761;2026-08-04T08:15:04.734281+00:00;user_outlet_temperature;Vorlauftemperatur;244;holding;16.0;16.0;°C;/dev/ttyUSB0
7762;2026-08-04T08:15:04.734473+00:00;user_inlet_temperature;Rücklauftemperatur;245;holding;18.0;18.0;°C;/dev/ttyUSB0
7763;2026-08-04T08:15:04.734516+00:00;outdoor_temperature;Außentemperatur;247;holding;22.0;22.0;°C;/dev/ttyUSB0
